mouse weight [g] records,plug date (E0.5),E0.5,E1.5,E2.5,E3.5,E4.5,E5.5,E6.5,E7.5,E8.5,E9.5
C57BL/6JOlaHsd,18/03/2015,21,20.4,20.4,20.6,20.5,20.7,21.4,,,
C57BL/6JOlaHsd,18/03/2015,16.4,17.4,18.7,19.3,19.6,20,19.7,,,
A/JolaHsd,18/03/2015,18.7,18.3,18.6,18.8,19,19.4,19.5,,,
A/JolaHsd,18/03/2015,18,18.3,18.5,18.5,18.7,19.1,19,,,
A/JolaHsd,18/03/2015,20.2,19.6,19.6,20.3,20.5,20.8,20.7,,,
C57BL/6JOlaHsd,19/03/2015,19.1,19.2,19.3,19.7,19.4,19.3,,,,
C57BL/6JOlaHsd,19/03/2015,17.9,18.2,18.3,19,18.6,18.5,,,,
A/JolaHsd,19/03/2015,17.5,17.3,17.5,17.7,17.8,18,,,,
A/JolaHsd,19/03/2015,19.3,19.3,19.7,19.6,20,20.2,,,,
A/JolaHsd,19/03/2015,17.6,17.5,18.3,18,18.4,18.6,,,,
