strain,embryonic day,body weight,body length,brain length,position,pregnancy no
A/JolaHsd,13.5,0.1433,9,5,1L,1
A/JolaHsd,13.5,0.1537,9.5,5,2L,1
A/JolaHsd,13.5,0.1556,9.5,5.5,3L,1
A/JolaHsd,13.5,0.1482,10,5.5,4R,1
A/JolaHsd,13.5,0.1482,9.5,5,5R,1
A/JolaHsd,13.5,0.147,9.5,5,6R,1
A/JolaHsd,13.5,0.14,10.5,5,7R,1
A/JolaHsd,13.5,0.1543,10,5.5,8R,1
C57BL/6JOlaHsd,13.5,0.2001,11,5.5,1L,7
C57BL/6JOlaHsd,13.5,0.1971,11.5,6,2R,7
C57BL/6JOlaHsd,13.5,NA,NA,NA,3R,7
C57BL/6JOlaHsd,13.5,0.197,11,5,4R,7
A/JolaHsd,13.5,NA,NA,NA,1L,8
A/JolaHsd,13.5,0.1487,10,6,2L,8
A/JolaHsd,13.5,0.14,11,6,3L,8
A/JolaHsd,13.5,0.1209,9.5,6,4R,8
A/JolaHsd,13.5,0.1245,9.5,6,5R,8
A/JolaHsd,13.5,NA,NA,NA,6R,8
A/JolaHsd,13.5,0.1332,10,5.5,7R,8
A/JolaHsd,13.5,0.1173,9.1,5,8R,8
A/JolaHsd,13.5,NA,NA,NA,9R,8
