strain,stage,body weight,brain weight,embryos per liter
A/JolaHsd,E13.5,0.1433,NA,8
A/JolaHsd,E13.5,0.1537,NA,8
A/JolaHsd,E13.5,0.1556,NA,8
A/JolaHsd,E13.5,0.1482,NA,8
A/JolaHsd,E13.5,0.1482,NA,8
A/JolaHsd,E13.5,0.147,NA,8
A/JolaHsd,E13.5,0.14,NA,8
A/JolaHsd,E13.5,0.1543,NA,8
A/JolaHsd,E13.5,0.1487,NA,6
A/JolaHsd,E13.5,0.14,NA,6
A/JolaHsd,E13.5,0.1209,NA,6
A/JolaHsd,E13.5,0.1245,NA,6
A/JolaHsd,E13.5,0.1332,NA,6
A/JolaHsd,E13.5,0.1173,NA,6
C57BL/6JOlaHsd,E13.5,0.2001,NA,3
C57BL/6JOlaHsd,E13.5,0.1971,NA,3
C57BL/6JOlaHsd,E13.5,0.197,NA,3
FVB/NHanHsd,E13.5,0.1429,NA,11
FVB/NHanHsd,E13.5,0.12,NA,11
FVB/NHanHsd,E13.5,0.1465,NA,11
FVB/NHanHsd,E13.5,0.1307,NA,11
FVB/NHanHsd,E13.5,0.1276,NA,11
FVB/NHanHsd,E13.5,0.1417,NA,11
FVB/NHanHsd,E13.5,0.1356,NA,11
FVB/NHanHsd,E13.5,0.1437,NA,11
FVB/NHanHsd,E13.5,0.1057,NA,11
FVB/NHanHsd,E13.5,0.1419,NA,11
FVB/NHanHsd,E13.5,0.1486,NA,11
A/JolaHsd,E16.5,0.5092,0.0444,8
A/JolaHsd,E16.5,0.4522,0.0565,8
A/JolaHsd,E16.5,0.5204,0.0467,8
A/JolaHsd,E16.5,0.5269,0.0457,8
A/JolaHsd,E16.5,0.474,0.0541,8
A/JolaHsd,E16.5,0.5539,0.0437,8
A/JolaHsd,E16.5,0.4648,0.0479,8
A/JolaHsd,E16.5,0.4777,0.046,8
A/JolaHsd,E16.5,0.5397,0.0374,7
A/JolaHsd,E16.5,0.5334,0.0379,7
A/JolaHsd,E16.5,0.4706,0.0359,7
A/JolaHsd,E16.5,0.3105,0.0295,7
A/JolaHsd,E16.5,0.4455,0.0412,7
A/JolaHsd,E16.5,0.3307,0.0306,7
A/JolaHsd,E16.5,0.4939,0.0467,7
